Date,Ratings,Processed_Date
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Aug, 2021",5,2021-08-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",1,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",2,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Sep, 2021",5,2021-09-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",3,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",3,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",2,2021-10-01
"Oct, 2021",3,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",1,2021-10-01
"Oct, 2021",4,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Oct, 2021",5,2021-10-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",3,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",4,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",4,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Nov, 2021",5,2021-11-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",4,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",4,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",4,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",1,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Dec, 2021",5,2021-12-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",2,2022-01-01
"Jan, 2022",4,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",1,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",4,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",4,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",1,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",1,2022-01-01
"Jan, 2022",1,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Jan, 2022",5,2022-01-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",1,2022-02-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",5,2022-02-01
"Feb, 2022",4,2022-02-01
"Feb, 2022",1,2022-02-01
"Mar, 2022",4,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",4,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",1,2022-03-01
"Mar, 2022",5,2022-03-01
"Mar, 2022",5,2022-03-01
"Apr, 2022",5,2022-04-01
"Apr, 2022",5,2022-04-01
"Apr, 2022",5,2022-04-01
"Apr, 2022",5,2022-04-01
"Apr, 2022",5,2022-04-01
"Apr, 2022",5,2022-04-01
"Apr, 2022",2,2022-04-01
"May, 2022",5,2022-05-01
"May, 2022",1,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",4,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",4,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",4,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",4,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",5,2022-05-01
"May, 2022",1,2022-05-01
"May, 2022",5,2022-05-01
"Jun, 2022",5,2022-06-01
"Jun, 2022",5,2022-06-01
"Jun, 2022",2,2022-06-01
"Jun, 2022",5,2022-06-01
"Jun, 2022",5,2022-06-01
"Jun, 2022",5,2022-06-01
"Jun, 2022",1,2022-06-01
"Jun, 2022",5,2022-06-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",3,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",4,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Jul, 2022",5,2022-07-01
"Aug, 2022",5,2022-08-01
"Aug, 2022",5,2022-08-01
"Aug, 2022",5,2022-08-01
"Aug, 2022",5,2022-08-01
"Aug, 2022",5,2022-08-01
"Aug, 2022",5,2022-08-01
11 months ago,4,2022-10-01
11 months ago,5,2022-10-01
11 months ago,4,2022-10-01
10 months ago,5,2022-11-01
10 months ago,5,2022-11-01
9 months ago,1,2022-12-01
9 months ago,5,2022-12-01
7 months ago,5,2023-02-01
7 months ago,5,2023-02-01
7 months ago,5,2023-02-01
7 months ago,5,2023-02-01
6 months ago,3,2023-03-01
1 month ago,5,2023-08-01
